|Run	|Epoch	#SSE	#AvgSSE	#PctErr	#PctCor	#CosDiff
0	4	1.487	0.06194	0.08333	0.9167	0.8333
0	9	6.24	0.26	0.3333	0.6667	0.3333
0	14	0	0	0	1	1
0	19	0	0	0	1	1
0	24	0	0	0	1	1
1	4	1.538	0.06407	0.08333	0.9167	0.8333
1	9	0	0	0	1	1
1	14	0	0	0	1	1
2	4	2.659	0.1108	0.1667	0.8333	0.6667
2	9	2.928	0.122	0.1667	0.8333	0.6667
2	14	1.555	0.0648	0.08333	0.9167	0.8333
2	19	1.583	0.06594	0.08333	0.9167	0.8333
3	4	0	0	0	1	1
3	9	0	0	0	1	1
3	14	0	0	0	1	1
3	19	0	0	0	1	1
3	24	0	0	0	1	1
4	4	0	0	0	1	1
4	9	1.571	0.06544	0.08333	0.9167	0.8333
4	14	1.619	0.06748	0.08333	0.9167	0.8333
4	19	3.25	0.1354	0.1667	0.8333	0.6667
4	24	3.297	0.1374	0.1667	0.8333	0.6667
4	29	3.315	0.1381	0.1667	0.8333	0.6667
