|Run	|Epoch	#SSE	#AvgSSE	#PctErr	#PctCor	#CosDiff
0	4	0	0	0	1	1
0	9	0	0	0	1	1
0	14	0	0	0	1	1
0	19	0	0	0	1	1
1	4	1.633	0.06802	0.08333	0.9167	0.8333
1	9	0	0	0	1	1
1	14	0	0	0	1	1
1	19	0	0	0	1	1
2	4	3.142	0.1309	0.1667	0.8333	0.6667
2	9	3.251	0.1355	0.1667	0.8333	0.6667
2	14	3.27	0.1363	0.1667	0.8333	0.6667
2	19	3.291	0.1371	0.1667	0.8333	0.6667
3	4	0	0	0	1	1
3	9	1.662	0.06927	0.08333	0.9167	0.8333
3	14	1.674	0.06973	0.08333	0.9167	0.8333
3	19	1.684	0.07015	0.08333	0.9167	0.8333
4	4	0	0	0	1	1
4	9	0	0	0	1	1
4	14	0	0	0	1	1
4	19	0	0	0	1	1
